-------------------------------------------------------------------------------------------,,,,,,,,,
1982,1,29966,1982.0411,-7.58,-7.58,-7.59,-7.59,-7.58,-7.58
1982,2,29997,1982.126,-7.64,-7.6,-7.63,-7.59,-7.64,-7.6
1982,3,30025,1982.2027,      NaN,      NaN,-7.68,-7.59,-7.68,-7.59
1982,4,30056,1982.2877,-7.73,-7.59,-7.74,-7.6,-7.73,-7.59
1982,5,30086,1982.3699,-7.8,-7.64,-7.76,-7.6,-7.8,-7.64
1982,6,30117,1982.4548,-7.71,-7.6,-7.71,-7.6,-7.71,-7.6
1982,7,30147,1982.537,-7.67,-7.66,-7.62,-7.6,-7.67,-7.66
1982,8,30178,1982.6219,-7.47,-7.57,-7.5,-7.6,-7.47,-7.57
1982,9,30209,1982.7068,-7.4,-7.57,-7.42,-7.6,-7.4,-7.57
1982,10,30239,1982.789,-7.45,-7.6,-7.44,-7.6,-7.45,-7.6
1982,11,30270,1982.874,-7.5,-7.59,-7.51,-7.6,-7.5,-7.59
1982,12,30300,1982.9562,-7.62,-7.66,-7.56,-7.6,-7.62,-7.66
1983,1,30331,1983.0411,-7.61,-7.61,-7.6,-7.6,-7.61,-7.61
1983,2,30362,1983.126,-7.6,-7.56,-7.64,-7.6,-7.6,-7.56
1983,3,30390,1983.2027,-7.63,-7.54,-7.69,-7.6,-7.63,-7.54
1983,4,30421,1983.2877,-7.72,-7.57,-7.76,-7.61,-7.72,-7.57
1983,5,30451,1983.3699,-7.86,-7.7,-7.78,-7.62,-7.86,-7.7
1983,6,30482,1983.4548,-7.63,-7.51,-7.74,-7.63,-7.63,-7.51
1983,7,30512,1983.537,-7.71,-7.7,-7.66,-7.64,-7.71,-7.7
1983,8,30543,1983.6219,-7.58,-7.68,-7.55,-7.65,-7.58,-7.68
1983,9,30574,1983.7068,-7.43,-7.61,-7.48,-7.66,-7.43,-7.61
1983,10,30604,1983.789,-7.48,-7.64,-7.51,-7.67,-7.48,-7.64
1983,11,30635,1983.874,-7.6,-7.69,-7.59,-7.69,-7.6,-7.69
1983,12,30665,1983.9562,-7.67,-7.71,-7.66,-7.7,-7.67,-7.71
1984,1,30696,1984.041,-7.67,-7.67,-7.72,-7.71,-7.67,-7.67
1984,2,30727,1984.1257,-7.81,-7.77,-7.77,-7.72,-7.81,-7.77
1984,3,30756,1984.2049,      NaN,      NaN,-7.82,-7.73,-7.82,-7.73
1984,4,30787,1984.2896,-7.9,-7.75,-7.88,-7.74,-7.9,-7.75
1984,5,30817,1984.3716,-7.9,-7.74,-7.9,-7.74,-7.9,-7.74
1984,6,30848,1984.4563,-7.86,-7.75,-7.85,-7.74,-7.86,-7.75
1984,7,30878,1984.5383,-7.72,-7.7,-7.75,-7.73,-7.72,-7.7
1984,8,30909,1984.623,-7.66,-7.76,-7.62,-7.73,-7.66,-7.76
1984,9,30940,1984.7077,-7.57,-7.74,-7.54,-7.72,-7.57,-7.74
1984,10,30970,1984.7896,-7.54,-7.7,-7.55,-7.71,-7.54,-7.7
1984,11,31001,1984.8743,-7.6,-7.7,-7.61,-7.7,-7.6,-7.7
1984,12,31031,1984.9563,-7.6,-7.63,-7.66,-7.69,-7.6,-7.63
1985,1,31062,1985.0411,-7.65,-7.65,-7.69,-7.69,-7.65,-7.65
1985,2,31093,1985.126,-7.76,-7.72,-7.73,-7.68,-7.76,-7.72
1985,3,31121,1985.2027,-7.81,-7.72,-7.77,-7.68,-7.81,-7.72
1985,4,31152,1985.2877,-7.75,-7.6,-7.82,-7.68,-7.75,-7.6
1985,5,31182,1985.3699,-7.85,-7.68,-7.84,-7.67,-7.85,-7.68
1985,6,31213,1985.4548,-7.79,-7.68,-7.79,-7.67,-7.79,-7.68
1985,7,31243,1985.537,-7.67,-7.66,-7.69,-7.67,-7.67,-7.66
1985,8,31274,1985.6219,-7.5,-7.6,-7.57,-7.67,-7.5,-7.6
1985,9,31305,1985.7068,-7.57,-7.74,-7.5,-7.67,-7.57,-7.74
1985,10,31335,1985.789,-7.6,-7.76,-7.52,-7.67,-7.6,-7.76
1985,11,31366,1985.874,-7.58,-7.67,-7.58,-7.67,-7.58,-7.67
1985,12,31396,1985.9562,-7.63,-7.66,-7.64,-7.67,-7.63,-7.66
1986,1,31427,1986.0411,-7.63,-7.63,-7.67,-7.67,-7.63,-7.63
1986,2,31458,1986.126,-7.73,-7.69,-7.71,-7.67,-7.73,-7.69
1986,3,31486,1986.2027,-7.76,-7.67,-7.75,-7.66,-7.76,-7.67
1986,4,31517,1986.2877,-7.87,-7.72,-7.8,-7.66,-7.87,-7.72
1986,5,31547,1986.3699,-7.83,-7.67,-7.82,-7.65,-7.83,-7.67
1986,6,31578,1986.4548,-7.7,-7.59,-7.76,-7.64,-7.7,-7.59
1986,7,31608,1986.537,-7.63,-7.61,-7.65,-7.64,-7.63,-7.61
1986,8,31639,1986.6219,-7.51,-7.62,-7.53,-7.63,-7.51,-7.62
1986,9,31670,1986.7068,-7.47,-7.65,-7.46,-7.64,-7.47,-7.65
1986,10,31700,1986.789,-7.48,-7.64,-7.48,-7.64,-7.48,-7.64
1986,11,31731,1986.874,-7.54,-7.63,-7.55,-7.64,-7.54,-7.63
1986,12,31761,1986.9562,-7.61,-7.65,-7.62,-7.65,-7.61,-7.65
1987,1,31792,1987.0411,-7.69,-7.69,-7.66,-7.66,-7.69,-7.69
1987,2,31823,1987.126,-7.71,-7.67,-7.71,-7.67,-7.71,-7.67
1987,3,31851,1987.2027,-7.78,-7.69,-7.76,-7.68,-7.78,-7.69
1987,4,31882,1987.2877,-7.83,-7.69,-7.83,-7.68,-7.83,-7.69
1987,5,31912,1987.3699,-7.81,-7.65,-7.86,-7.69,-7.81,-7.65
1987,6,31943,1987.4548,-7.85,-7.74,-7.82,-7.7,-7.85,-7.74
1987,7,31973,1987.537,-7.73,-7.72,-7.73,-7.71,-7.73,-7.72
1987,8,32004,1987.6219,-7.62,-7.72,-7.62,-7.72,-7.62,-7.72
1987,9,32035,1987.7068,-7.57,-7.74,-7.55,-7.73,-7.57,-7.74
1987,10,32065,1987.789,-7.58,-7.74,-7.58,-7.74,-7.58,-7.74
1987,11,32096,1987.874,-7.67,-7.77,-7.66,-7.75,-7.67,-7.77
1987,12,32126,1987.9562,-7.66,-7.7,-7.72,-7.75,-7.66,-7.7
1988,1,32157,1988.041,-7.77,-7.77,-7.77,-7.76,-7.77,-7.77
1988,2,32188,1988.1257,-7.85,-7.81,-7.81,-7.77,-7.85,-7.81
1988,3,32217,1988.2049,-7.85,-7.76,-7.87,-7.78,-7.85,-7.76
1988,4,32248,1988.2896,-7.95,-7.8,-7.93,-7.79,-7.95,-7.8
1988,5,32278,1988.3716,-7.97,-7.81,-7.95,-7.79,-7.97,-7.81
1988,6,32309,1988.4563,-7.88,-7.77,-7.9,-7.79,-7.88,-7.77
1988,7,32339,1988.5383,-7.77,-7.76,-7.8,-7.79,-7.77,-7.76
1988,8,32370,1988.623,-7.73,-7.83,-7.69,-7.79,-7.73,-7.83
1988,9,32401,1988.7077,-7.63,-7.81,-7.61,-7.79,-7.63,-7.81
1988,10,32431,1988.7896,-7.62,-7.77,-7.63,-7.79,-7.62,-7.77
1988,11,32462,1988.8743,-7.65,-7.74,-7.7,-7.79,-7.65,-7.74
1988,12,32492,1988.9563,-7.74,-7.77,-7.75,-7.79,-7.74,-7.77
1989,1,32523,1989.0411,-7.81,-7.81,-7.79,-7.79,-7.81,-7.81
1989,2,32554,1989.126,-7.85,-7.81,-7.83,-7.79,-7.85,-7.81
1989,3,32582,1989.2027,-7.91,-7.82,-7.88,-7.8,-7.91,-7.82
1989,4,32613,1989.2877,-7.95,-7.81,-7.94,-7.8,-7.95,-7.81
1989,5,32643,1989.3699,-7.94,-7.77,-7.96,-7.8,-7.94,-7.77
1989,6,32674,1989.4548,-7.93,-7.81,-7.91,-7.8,-7.93,-7.81
1989,7,32704,1989.537,-7.81,-7.8,-7.82,-7.8,-7.81,-7.8
1989,8,32735,1989.6219,-7.7,-7.81,-7.7,-7.8,-7.7,-7.81
1989,9,32766,1989.7068,-7.61,-7.79,-7.63,-7.8,-7.61,-7.79
1989,10,32796,1989.789,-7.62,-7.78,-7.65,-7.81,-7.62,-7.78
1989,11,32827,1989.874,-7.73,-7.82,-7.73,-7.82,-7.73,-7.82
1989,12,32857,1989.9562,-7.78,-7.81,-7.79,-7.83,-7.78,-7.81
1990,1,32888,1990.0411,-7.86,-7.85,-7.84,-7.84,-7.86,-7.85
1990,2,32919,1990.126,-7.9,-7.86,-7.88,-7.84,-7.9,-7.86
1990,3,32947,1990.2027,-7.97,-7.88,-7.94,-7.85,-7.97,-7.88
1990,4,32978,1990.2877,-8.03,-7.88,-8,-7.85,-8.03,-7.88
1990,5,33008,1990.3699,-8.06,-7.89,-8.02,-7.85,-8.06,-7.89
1990,6,33039,1990.4548,-7.93,-7.82,-7.96,-7.85,-7.93,-7.82
1990,7,33069,1990.537,-7.79,-7.77,-7.86,-7.84,-7.79,-7.77
1990,8,33100,1990.6219,-7.72,-7.82,-7.74,-7.84,-7.72,-7.82
1990,9,33131,1990.7068,-7.61,-7.79,-7.66,-7.84,-7.61,-7.79
1990,10,33161,1990.789,-7.74,-7.9,-7.68,-7.83,-7.74,-7.9
1990,11,33192,1990.874,-7.74,-7.83,-7.74,-7.83,-7.74,-7.83
1990,12,33222,1990.9562,      NaN,      NaN,-7.79,-7.82,-7.79,-7.82
1991,1,33253,1991.0411,-7.75,-7.75,-7.82,-7.82,-7.75,-7.75
1991,2,33284,1991.126,-7.84,-7.8,-7.86,-7.82,-7.84,-7.8
1991,3,33312,1991.2027,-7.92,-7.84,-7.9,-7.81,-7.92,-7.84
1991,4,33343,1991.2877,-7.95,-7.81,-7.96,-7.81,-7.95,-7.81
1991,5,33373,1991.3699,-7.99,-7.83,-7.98,-7.81,-7.99,-7.83
1991,6,33404,1991.4548,-7.89,-7.77,-7.93,-7.81,-7.89,-7.77
1991,7,33434,1991.537,-7.82,-7.8,-7.83,-7.82,-7.82,-7.8
1991,8,33465,1991.6219,-7.77,-7.87,-7.72,-7.82,-7.77,-7.87
1991,9,33496,1991.7068,-7.66,-7.84,-7.65,-7.82,-7.66,-7.84
1991,10,33526,1991.789,-7.65,-7.81,-7.67,-7.83,-7.65,-7.81
1991,11,33557,1991.874,-7.74,-7.83,-7.74,-7.83,-7.74,-7.83
1991,12,33587,1991.9562,-7.8,-7.84,-7.79,-7.83,-7.8,-7.84
1992,1,33618,1992.041,-7.82,-7.82,-7.83,-7.83,-7.82,-7.82
1992,2,33649,1992.1257,-7.86,-7.82,-7.87,-7.83,-7.86,-7.82
1992,3,33678,1992.2049,-7.93,-7.84,-7.92,-7.83,-7.93,-7.84
1992,4,33709,1992.2896,-7.97,-7.82,-7.98,-7.83,-7.97,-7.82
1992,5,33739,1992.3716,-7.99,-7.82,-8,-7.84,-7.99,-7.82
